Name,Team,Age
Avery Bradley,Canada,25
Jae Crowder,Canada,25
John Holland,Canada,27
R.J. Hunter,Canada,22
Jonas Jerebko,Canada,34
Amir Johnson,Canada,29
Jordan Mickey,Canada,21
Kelly Olynyk,Canada,25
Terry Rozier,Canada,22
Marcus Smart,Canada,22
Jared Sullinger,Canada,24
Isaiah Thomas,Canada,27
Evan Turner,Canada,27
James Young,Canada,20
Tyler Zeller,Canada,26
Bojan Bogdanovic,Sweden,27
Markel Brown,Sweden,24
Wayne Ellington,Sweden,28
Rondae Hollis-Jefferson,Sweden,21
Jarrett Jack,Sweden,32
Sergey Karasev,Sweden,22
Sean Kilpatrick,Sweden,26
Shane Larkin,Sweden,23
Brook Lopez,Sweden,28
Chris McCullough,Sweden,21
Willie Reed,Sweden,26
Thomas Robinson,Sweden,25
Henry Sims,Sweden,26
Donald Sloan,Sweden,28
Thaddeus Young,Sweden,27
Arron Afflalo,New York Knicks,30
Lou Amundson,New York Knicks,33
Thanasis Antetokounmpo,New York Knicks,23
Carmelo Anthony,New York Knicks,32
Jose Calderon,New York Knicks,34
Cleanthony Early,New York Knicks,25
Langston Galloway,New York Knicks,24
Jerian Grant,New York Knicks,23
Robin Lopez,New York Knicks,28
Kyle O'Quinn,New York Knicks,26
Kristaps Porzingis,New York Knicks,20
Kevin Seraphin,New York Knicks,26
Lance Thomas,New York Knicks,28
Sasha Vujacic,New York Knicks,32
Derrick Williams,New York Knicks,25
Tony Wroten,New York Knicks,23
Elton Brand,Philadelphia 76ers,37
Isaiah Canaan,Philadelphia 76ers,25
Robert Covington,Philadelphia 76ers,25
Joel Embiid,Philadelphia 76ers,22
Jerami Grant,Philadelphia 76ers,22
Richaun Holmes,Philadelphia 76ers,22
Carl Landry,Philadelphia 76ers,32
Kendall Marshall,Philadelphia 76ers,24
T.J. McConnell,Philadelphia 76ers,24
Nerlens Noel,Philadelphia 76ers,22
Jahlil Okafor,Philadelphia 76ers,20
Ish Smith,Philadelphia 76ers,27
Nik Stauskas,Philadelphia 76ers,22
Hollis Thompson,Philadelphia 76ers,25
Christian Wood,Philadelphia 76ers,20
Bismack Biyombo,Toronto Raptors,23
Bruno Caboclo,Toronto Raptors,20
DeMarre Carroll,Toronto Raptors,29
DeMar DeRozan,Toronto Raptors,26
James Johnson,Toronto Raptors,29
Cory Joseph,Toronto Raptors,24
Kyle Lowry,Toronto Raptors,30
Lucas Nogueira,Toronto Raptors,23
Patrick Patterson,Toronto Raptors,27
Norman Powell,Toronto Raptors,23
Terrence Ross,Toronto Raptors,25
Luis Scola,Toronto Raptors,36
Jason Thompson,Toronto Raptors,29
Jonas Valanciunas,Toronto Raptors,24
Delon Wright,Toronto Raptors,24
Leandro Barbosa,Golden State Warriors,33
Harrison Barnes,Golden State Warriors,24
Andrew Bogut,Golden State Warriors,31
Ian Clark,Golden State Warriors,25
Stephen Curry,Golden State Warriors,28
Festus Ezeli,Golden State Warriors,26
Draymond Green,Golden State Warriors,26
Andre Iguodala,Golden State Warriors,32
Shaun Livingston,Golden State Warriors,30
Kevon Looney,Golden State Warriors,20
James Michael McAdoo,Golden State Warriors,23
Brandon Rush,Golden State Warriors,30
Marreese Speights,Golden State Warriors,28
Klay Thompson,Golden State Warriors,26
Anderson Varejao,Golden State Warriors,33
Cole Aldrich,Los Angeles Clippers,27
Jeff Ayres,Los Angeles Clippers,29
Jamal Crawford,Los Angeles Clippers,36
Branden Dawson,Los Angeles Clippers,23
Jeff Green,Los Angeles Clippers,29
Blake Griffin,Los Angeles Clippers,27
Wesley Johnson,Los Angeles Clippers,28
DeAndre Jordan,Los Angeles Clippers,27
Luc Richard Mbah a Moute,Los Angeles Clippers,29
Chris Paul,Los Angeles Clippers,31
Paul Pierce,Los Angeles Clippers,38
Pablo Prigioni,Los Angeles Clippers,39
JJ Redick,Los Angeles Clippers,31
Austin Rivers,Los Angeles Clippers,23
C.J. Wilcox,Los Angeles Clippers,25
Brandon Bass,Los Angeles Lakers,31
Tarik Black,Los Angeles Lakers,24
Anthony Brown,Los Angeles Lakers,23
Kobe Bryant,Los Angeles Lakers,37
Jordan Clarkson,Los Angeles Lakers,24
Roy Hibbert,Los Angeles Lakers,29
Marcelo Huertas,Los Angeles Lakers,33
Ryan Kelly,Los Angeles Lakers,25
Larry Nance Jr.,Los Angeles Lakers,23
Julius Randle,Los Angeles Lakers,21
D'Angelo Russell,Los Angeles Lakers,20
Robert Sacre,Los Angeles Lakers,27
Louis Williams,Los Angeles Lakers,29
Metta World Peace,Los Angeles Lakers,36
Nick Young,Los Angeles Lakers,31
Eric Bledsoe,Phoenix Suns,26
Devin Booker,Phoenix Suns,19
Chase Budinger,Phoenix Suns,28
Tyson Chandler,Phoenix Suns,33
Archie Goodwin,Phoenix Suns,21
John Jenkins,Phoenix Suns,25
Brandon Knight,Phoenix Suns,24
Alex Len,Phoenix Suns,22
Jon Leuer,Phoenix Suns,27
Phil Pressey,Phoenix Suns,25
Ronnie Price,Phoenix Suns,32
Mirza Teletovic,Phoenix Suns,30
P.J. Tucker,Phoenix Suns,31
T.J. Warren,Phoenix Suns,22
Alan Williams,Phoenix Suns,23
Quincy Acy,Sacramento Kings,25
James Anderson,Sacramento Kings,27
Marco Belinelli,Sacramento Kings,30
Caron Butler,Sacramento Kings,36
Omri Casspi,Sacramento Kings,27
Willie Cauley-Stein,Sacramento Kings,22
Darren Collison,Sacramento Kings,28
DeMarcus Cousins,Sacramento Kings,25
Seth Curry,Sacramento Kings,25
Duje Dukan,Sacramento Kings,24
Rudy Gay,Sacramento Kings,29
Kosta Koufos,Sacramento Kings,27
Ben McLemore,Sacramento Kings,23
Eric Moreland,Sacramento Kings,24
Rajon Rondo,Sacramento Kings,30
Cameron Bairstow,Kenya,25
Aaron Brooks,Kenya,31
Jimmy Butler,Kenya,26
Mike Dunleavy,Kenya,35
Cristiano Felicio,Kenya,23
Pau Gasol,Kenya,35
Taj Gibson,Kenya,30
Justin Holiday,Kenya,27
Doug McDermott,Kenya,24
Nikola Mirotic,Kenya,25
E'Twaun Moore,Kenya,27
Joakim Noah,Kenya,31
Bobby Portis,Kenya,21
Derrick Rose,Kenya,27
Tony Snell,Kenya,24
Matthew Dellavedova,Nigeria,25
Channing Frye,Nigeria,33
Kyrie Irving,Nigeria,24
LeBron James,Nigeria,31
Richard Jefferson,Nigeria,35
Dahntay Jones,Nigeria,35
James Jones,Nigeria,35
Sasha Kaun,Nigeria,31
Kevin Love,Nigeria,27
Jordan McRae,Nigeria,25
Timofey Mozgov,Nigeria,29
Iman Shumpert,Nigeria,25
J.R. Smith,Nigeria,30
Tristan Thompson,Nigeria,25
Mo Williams,Nigeria,33
Joel Anthony,Detroit Pistons,33
Aron Baynes,Detroit Pistons,29
Steve Blake,Detroit Pistons,36
Lorenzo Brown,Detroit Pistons,25
Reggie Bullock,Detroit Pistons,25
Kentavious Caldwell-Pope,Detroit Pistons,23
Spencer Dinwiddie,Detroit Pistons,23
Andre Drummond,Detroit Pistons,22
Tobias Harris,Detroit Pistons,23
Darrun Hilliard,Detroit Pistons,23
Reggie Jackson,Detroit Pistons,26
Stanley Johnson,Detroit Pistons,20
Jodie Meeks,Detroit Pistons,28
Marcus Morris,Detroit Pistons,26
Anthony Tolliver,Detroit Pistons,31
Lavoy Allen,Indiana Pacers,27
Rakeem Christmas,Indiana Pacers,24
Monta Ellis,Indiana Pacers,30
Paul George,Indiana Pacers,26
George Hill,Indiana Pacers,30
Jordan Hill,Indiana Pacers,28
Solomon Hill,Indiana Pacers,25
Ty Lawson,Indiana Pacers,28
Ian Mahinmi,Indiana Pacers,29
C.J. Miles,Indiana Pacers,29
Glenn Robinson III,Indiana Pacers,22
Rodney Stuckey,Indiana Pacers,30
Myles Turner,Indiana Pacers,20
Shayne Whittington,Indiana Pacers,25
Joe Young,Indiana Pacers,23
Giannis Antetokounmpo,Milwaukee Bucks,21
Jerryd Bayless,Milwaukee Bucks,27
Michael Carter-Williams,Milwaukee Bucks,24
Jared Cunningham,Milwaukee Bucks,25
Tyler Ennis,Milwaukee Bucks,21
John Henson,Milwaukee Bucks,25
Damien Inglis,Milwaukee Bucks,21
O.J. Mayo,Milwaukee Bucks,28
Khris Middleton,Milwaukee Bucks,24
Greg Monroe,Milwaukee Bucks,26
Steve Novak,Milwaukee Bucks,32
Johnny O'Bryant III,Milwaukee Bucks,23
Jabari Parker,Milwaukee Bucks,21
Miles Plumlee,Milwaukee Bucks,27
Greivis Vasquez,Milwaukee Bucks,29
Rashad Vaughn,Milwaukee Bucks,19
Justin Anderson,Dallas Mavericks,22
J.J. Barea,Dallas Mavericks,31
Jeremy Evans,Dallas Mavericks,28
Raymond Felton,Dallas Mavericks,31
Devin Harris,Dallas Mavericks,33
David Lee,Dallas Mavericks,33
Wesley Matthews,Dallas Mavericks,29
JaVale McGee,Dallas Mavericks,28
Salah Mejri,Dallas Mavericks,29
Dirk Nowitzki,Dallas Mavericks,37
Zaza Pachulia,Dallas Mavericks,32
Chandler Parsons,Dallas Mavericks,27
Dwight Powell,Dallas Mavericks,24
Charlie Villanueva,Dallas Mavericks,31
Deron Williams,Dallas Mavericks,31
Trevor Ariza,Houston Rockets,30
Michael Beasley,Houston Rockets,27
Patrick Beverley,Houston Rockets,27
Corey Brewer,Houston Rockets,30
Clint Capela,Houston Rockets,22
Sam Dekker,Houston Rockets,22
Andrew Goudelock,Houston Rockets,27
James Harden,Houston Rockets,26
Montrezl Harrell,Houston Rockets,22
Dwight Howard,Houston Rockets,30
Terrence Jones,Houston Rockets,24
K.J. McDaniels,Houston Rockets,23
Donatas Motiejunas,Houston Rockets,25
Josh Smith,Houston Rockets,30
Jason Terry,Houston Rockets,38
Jordan Adams,Memphis Grizzlies,21
Tony Allen,Memphis Grizzlies,34
Chris Andersen,Memphis Grizzlies,37
Matt Barnes,Memphis Grizzlies,36
Vince Carter,Memphis Grizzlies,39
Mike Conley,Memphis Grizzlies,28
Bryce Cotton,Memphis Grizzlies,23
Jordan Farmar,Memphis Grizzlies,29
Marc Gasol,Memphis Grizzlies,31
JaMychal Green,Memphis Grizzlies,25
P.J. Hairston,Memphis Grizzlies,23
Jarell Martin,Memphis Grizzlies,22
Ray McCallum,Memphis Grizzlies,24
Xavier Munford,Memphis Grizzlies,24
Zach Randolph,Memphis Grizzlies,34
Lance Stephenson,Memphis Grizzlies,25
Alex Stepheson,Memphis Grizzlies,28
Brandan Wright,Memphis Grizzlies,28
Alexis Ajinca,New Orleans Pelicans,28
Ryan Anderson,New Orleans Pelicans,28
Omer Asik,New Orleans Pelicans,29
Luke Babbitt,New Orleans Pelicans,26
Norris Cole,New Orleans Pelicans,27
Dante Cunningham,New Orleans Pelicans,29
Anthony Davis,New Orleans Pelicans,23
Bryce Dejean-Jones,New Orleans Pelicans,23
Toney Douglas,New Orleans Pelicans,30
James Ennis,New Orleans Pelicans,25
Tyreke Evans,New Orleans Pelicans,26
Tim Frazier,New Orleans Pelicans,25
Alonzo Gee,New Orleans Pelicans,29
Eric Gordon,New Orleans Pelicans,27
Jordan Hamilton,New Orleans Pelicans,25
Jrue Holiday,New Orleans Pelicans,25
Orlando Johnson,New Orleans Pelicans,27
Kendrick Perkins,New Orleans Pelicans,31
Quincy Pondexter,New Orleans Pelicans,28
LaMarcus Aldridge,San Antonio Spurs,30
Kyle Anderson,San Antonio Spurs,22
Matt Bonner,San Antonio Spurs,36
Boris Diaw,San Antonio Spurs,34
Tim Duncan,San Antonio Spurs,40
Manu Ginobili,San Antonio Spurs,38
Danny Green,San Antonio Spurs,28
Kawhi Leonard,San Antonio Spurs,24
Boban Marjanovic,San Antonio Spurs,27
Kevin Martin,San Antonio Spurs,33
Andre Miller,San Antonio Spurs,40
Patty Mills,San Antonio Spurs,27
Tony Parker,San Antonio Spurs,34
Jonathon Simmons,San Antonio Spurs,26
David West,San Antonio Spurs,35
Kent Bazemore,USA,26
Tim Hardaway Jr.,USA,24
Kirk Hinrich,USA,35
Al Horford,USA,30
Kris Humphries,USA,31
Kyle Korver,USA,35
Paul Millsap,USA,31
Mike Muscala,USA,24
Lamar Patterson,USA,24
Dennis Schroder,USA,22
Mike Scott,USA,27
Thabo Sefolosha,USA,32
Tiago Splitter,USA,31
Walter Tavares,USA,24
Jeff Teague,USA,27
Nicolas Batum,Nigeria,27
Troy Daniels,Nigeria,24
Jorge Gutierrez,Nigeria,27
Tyler Hansbrough,Nigeria,30
Aaron Harrison,Nigeria,21
Spencer Hawes,Nigeria,28
Al Jefferson,Nigeria,31
Frank Kaminsky III,Nigeria,23
Michael Kidd-Gilchrist,Nigeria,22
Jeremy Lamb,Nigeria,24
Courtney Lee,Nigeria,30
Jeremy Lin,Nigeria,27
Kemba Walker,Nigeria,26
Marvin Williams,Nigeria,29
Cody Zeller,Nigeria,23
Chris Bosh,Miami Heat,32
Luol Deng,Miami Heat,31
Goran Dragic,Miami Heat,30
Gerald Green,Miami Heat,30
Udonis Haslem,Miami Heat,36
Joe Johnson,Miami Heat,34
Tyler Johnson,Miami Heat,24
Josh McRoberts,Miami Heat,29
Josh Richardson,Miami Heat,22
Amar'e Stoudemire,Miami Heat,33
Dwyane Wade,Miami Heat,34
Briante Weber,Miami Heat,23
Hassan Whiteside,Miami Heat,26
Justise Winslow,Miami Heat,20
Dorell Wright,Miami Heat,30
Dewayne Dedmon,Orlando Magic,26
Evan Fournier,Orlando Magic,23
Aaron Gordon,Orlando Magic,20
Mario Hezonja,Orlando Magic,21
Ersan Ilyasova,Orlando Magic,29
Brandon Jennings,Orlando Magic,26
Devyn Marble,Orlando Magic,23
Shabazz Napier,Orlando Magic,24
Andrew Nicholson,Orlando Magic,26
Victor Oladipo,Orlando Magic,24
Elfrid Payton,Orlando Magic,22
Jason Smith,Orlando Magic,30
Nikola Vucevic,Orlando Magic,25
C.J. Watson,Orlando Magic,32
Alan Anderson,Washington Wizards,33
Bradley Beal,Washington Wizards,22
Jared Dudley,Washington Wizards,30
Jarell Eddie,Washington Wizards,24
Drew Gooden,Washington Wizards,34
Marcin Gortat,Washington Wizards,32
JJ Hickson,Washington Wizards,27
Nene Hilario,Washington Wizards,33
Markieff Morris,Washington Wizards,26
Kelly Oubre Jr.,Washington Wizards,20
Otto Porter Jr.,Washington Wizards,23
Ramon Sessions,Washington Wizards,30
Garrett Temple,Washington Wizards,30
Marcus Thornton,Washington Wizards,29
John Wall,Washington Wizards,25
Darrell Arthur,Denver Nuggets,28
D.J. Augustin,Denver Nuggets,28
Will Barton,Denver Nuggets,25
Wilson Chandler,Denver Nuggets,29
Kenneth Faried,Denver Nuggets,26
Danilo Gallinari,Denver Nuggets,27
Gary Harris,Denver Nuggets,21
Nikola Jokic,Denver Nuggets,21
Joffrey Lauvergne,Denver Nuggets,24
Mike Miller,Denver Nuggets,36
Emmanuel Mudiay,Denver Nuggets,20
Jameer Nelson,Denver Nuggets,34
Jusuf Nurkic,Denver Nuggets,21
JaKarr Sampson,Denver Nuggets,23
Axel Toupane,Denver Nuggets,23
Nemanja Bjelica,Minnesota Timberwolves,28
Gorgui Dieng,Minnesota Timberwolves,26
Kevin Garnett,Minnesota Timberwolves,40
Tyus Jones,Minnesota Timberwolves,20
Zach LaVine,Minnesota Timberwolves,21
Shabazz Muhammad,Minnesota Timberwolves,23
Adreian Payne,Minnesota Timberwolves,25
Nikola Pekovic,Minnesota Timberwolves,30
Tayshaun Prince,Minnesota Timberwolves,36
Ricky Rubio,Minnesota Timberwolves,25
Damjan Rudez,Minnesota Timberwolves,29
Greg Smith,Minnesota Timberwolves,25
Karl-Anthony Towns,Minnesota Timberwolves,20
Andrew Wiggins,Minnesota Timberwolves,21
Steven Adams,Oklahoma City Thunder,22
Nick Collison,Oklahoma City Thunder,35
Kevin Durant,Oklahoma City Thunder,27
Randy Foye,Oklahoma City Thunder,32
Josh Huestis,Oklahoma City Thunder,24
Serge Ibaka,Oklahoma City Thunder,26
Enes Kanter,Oklahoma City Thunder,24
Mitch McGary,Oklahoma City Thunder,24
Nazr Mohammed,Oklahoma City Thunder,38
Anthony Morrow,Oklahoma City Thunder,30
Cameron Payne,Oklahoma City Thunder,21
Andre Roberson,Oklahoma City Thunder,24
Kyle Singler,Oklahoma City Thunder,28
Dion Waiters,Oklahoma City Thunder,24
Russell Westbrook,Oklahoma City Thunder,27
Cliff Alexander,Portland Trail Blazers,20
Al-Farouq Aminu,Portland Trail Blazers,25
Pat Connaughton,Portland Trail Blazers,23
Allen Crabbe,Portland Trail Blazers,24
Ed Davis,Portland Trail Blazers,27
Maurice Harkless,Portland Trail Blazers,23
Gerald Henderson,Portland Trail Blazers,28
Chris Kaman,Portland Trail Blazers,34
Meyers Leonard,Portland Trail Blazers,24
Damian Lillard,Portland Trail Blazers,25
C.J. McCollum,Portland Trail Blazers,24
Luis Montero,Portland Trail Blazers,23
Mason Plumlee,Portland Trail Blazers,26
Brian Roberts,Portland Trail Blazers,30
Noah Vonleh,Portland Trail Blazers,20
Trevor Booker,Utah Jazz,28
Trey Burke,Utah Jazz,23
Alec Burks,Utah Jazz,24
Dante Exum,Utah Jazz,20
Derrick Favors,Utah Jazz,24
Rudy Gobert,Utah Jazz,23
Gordon Hayward,Utah Jazz,26
Rodney Hood,Utah Jazz,23
Joe Ingles,Utah Jazz,28
Chris Johnson,Utah Jazz,26
Trey Lyles,Utah Jazz,20
Shelvin Mack,Utah Jazz,26
Raul Neto,Utah Jazz,24
Tibor Pleiss,Utah Jazz,26
Jeff Withey,Utah Jazz,26
